event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,redshift_sample,H0_sample,theta_jn,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0001,0.42743847188964146,0.762603515003311,0.23719850625282976,0.7628014915305339,0.20941997285134614,0.5504033916599962,0.6354413522484199,0.7312112112391661,0.45397914537055434,0.14790698154960982,0.2769864209040443,0.5254463728717099,0.41849458818466834,0.535899229026189
event_0002,0.14326337997692148,0.3255633072031552,0.6742630082781311,0.3255633072031552,0.60647255165423,0.6835904207325967,0.6573570526523331,0.9202192224826351,0.39529175854873466,0.5970531411230366,0.3999236670357284,0.506321195059448,0.40776479192502774,0.5394766670656462
event_0003,0.9786014180929871,0.008026266277140828,0.9919737337228592,0.008026266277140828,0.9848424378586133,0.679447516839831,0.5810990455217362,0.8859749779014863,0.005969296366810857,0.9870344937853768,0.024865341253110025,0.5541388734690922,0.40848906640771687,0.638750541852394
event_0004,0.6957264328210788,0.6555013045868956,0.34489488112018896,0.6555013045868956,0.8597509959548139,0.6323314034585046,0.5863722923160415,0.7842733088041479,0.5668053058195857,0.3439091326450782,0.4588255122640761,0.4925024251514139,0.3912552708932371,0.4730561536440204
event_0005,0.8206767777610855,0.998797772137556,0.0014026179435539779,0.998797772137556,0.0012021668472393151,0.4490087269910288,0.5053104474138177,0.18373127277342555,0.9941895423550267,0.07834004783634627,0.9058307153549534,0.48727831582953357,0.5151280313123728,0.4512131641066699
event_0006,0.5301246069871594,0.9956638114765131,0.004336188523486982,0.9956638114765131,0.11193652575739428,0.6080686041360466,0.7138318836042632,0.995300439341129,0.9414034075397972,0.32604185160571547,0.7938341516676508,0.49893165102524845,0.5379167716029062,0.49029315701088194
event_0007,0.00018261761507043525,1.0,0.0,1.0,0.5538714720574853,0.6831629197360164,0.669284173402837,0.8674215483656671,1.0,0.0,0.9981738612843678,0.5334184518836382,0.6024469529494265,0.5686631297086434
event_0008,0.7818967698165082,0.9660686704344456,0.03408856050687247,0.9664136091814497,0.0499792653639298,0.6933361926903591,0.8501301519045295,0.6527035244925498,0.9915828545747065,0.8219426610286462,0.9777193269621067,0.45589540355004865,0.6493216044425711,0.4057210561876534
event_0009,0.02142842099558858,0.39559651653923367,0.6042087050189224,0.39540173725005034,0.2033496912047416,0.47000257093205744,0.5331138190702756,0.0,0.02123360352950595,0.005456461016891351,0.007014699881566124,0.5465508491479087,0.32723203580917437,0.6306983531922326
event_0010,0.5167837939239394,0.5228699460007207,0.4771300539992793,0.522674314917237,0.7536700547866644,0.6261238245849599,0.5787862274180802,0.2889107671770049,0.4611886280840233,0.4545782853236683,0.4311023926549405,0.49426935370348996,0.44115382626153954,0.5342789042261815
event_0011,0.4961512277314585,0.9032964393332107,0.09651726452725723,0.9034823096954038,0.003910454390260104,0.4788557643190431,0.8299451788072321,0.14247855503759305,0.7246541843291937,0.17972726721650387,0.44651375649021907,0.486180080683591,0.4824140413761894,0.4695843131655971
event_0012,0.8261676430550093,0.8922623661148774,0.10773763388512243,0.892437376155764,0.011374146837647708,0.4296340611994568,0.6414433147404712,0.017575915475949742,0.6774566769856989,0.16800524535872297,0.4985964698183024,0.5064570254830022,0.5161409817038847,0.4745111619807999
event_0013,0.857786670094825,0.25100664222949415,0.7491413037147577,0.25119298987918814,0.8802961767187875,0.7346895186758182,0.6806962185568457,0.012324612498070075,0.5279591630267795,0.8857737994708621,0.8166266956119038,0.4722837310092486,0.46272857515675647,0.5218788070646324
event_0014,0.0,1.0000000000000002,0.0,1.0000000000000002,0.3497439209345748,0.6358976122290703,0.6350429151709757,0.3480345115320619,1.0000000000000002,0.001197058595685076,0.9444444834685239,0.4358972237363594,0.5316241615781525,0.46256435860735073
event_0015,0.256698535242217,0.781852196443656,0.21814780355634378,0.7816947410803294,0.5638254136974581,0.5852649320456613,0.5862528887326459,0.4013126420250732,0.723509464158234,0.34924417889503456,0.5759735792723968,0.5125213087789104,0.4994139288732038,0.5383291531027234
event_0016,0.034231460523578394,0.9992350467758976,0.0007649532241025163,0.9992350467758976,0.004207185103547662,0.46014525093059616,0.6840587903619727,0.0,0.9961752574019405,0.06600093002480434,0.874166223519943,0.46486015716660706,0.5974767953251918,0.43565564092407194
event_0017,0.28187547836576876,0.5357450720677543,0.4642549279322458,0.5355509126945548,0.0031553837308831998,0.375850742752151,0.6349524784536793,0.010248680124149694,0.40699265798587186,0.2682165795677858,0.2285993271866938,0.4284123253414932,0.5442316353969083,0.511909491162112
