event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,theta_jn,redshift_sample,H0_sample,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0001,0.5064925362225314,0.6450652624129442,0.35459239226646033,0.6454799564876439,0.4713899892564469,0.5357482274846026,0.6221696357524338,0.622795125997339,0.33101758489049293,0.19226079500403784,0.24351755002080835,0.5667289011089467,0.4012228139195322,0.5716960322544551
event_0002,0.1688802490369931,0.1442250356933435,0.8556454044498483,0.1442250356933435,0.7462945185706616,0.9102478794918227,0.6861372948362657,0.6307994046129602,0.32081207585257937,0.69008336846822,0.38222791674065654,0.5205883533547064,0.39955570221217285,0.5462939635926821
event_0003,0.9949012577078765,0.0005031362620307551,0.9994968637379693,0.0005031362620307551,0.991466138816454,0.9260747807020684,0.6783947244208779,0.5615875336386831,0.00037914338831174997,0.99772564171543,0.013266452859696317,0.5572669919705819,0.40548187001961866,0.6413885891561459
event_0004,0.8394125326164781,0.40883168396963837,0.5915970629230345,0.40883168396963837,0.8853541893113229,0.7776923880299006,0.6113638349496242,0.560700660059112,0.3668534498419186,0.5235115633435188,0.3730024224743493,0.49189634962938433,0.37963407972623897,0.460413154778251
event_0005,0.8734303807310634,0.9984668171115683,0.0017887931228663307,0.9984668171115683,0.0011822826448229535,0.18128303546809937,0.44625258271894624,0.5027846288141555,0.9926493627154224,0.09821705627274857,0.9010986046500684,0.4806706247211525,0.5070867022982468,0.4462298026425796
event_0006,0.6024139141481648,0.9952009577524173,0.004799042247582796,0.9952009577524173,0.2803115106873372,0.9863528099875847,0.6523597028106681,0.7028968262672041,0.9027307016744525,0.4076190025794765,0.751179908482118,0.5036581280618304,0.5023798779503683,0.5169607672701647
event_0007,0.0009132020866838425,0.9999999999999998,0.0,0.9999999999999998,0.5702944126322561,0.8715766356169306,0.6065269817921612,0.5905425483850404,0.9999999999999998,0.0,0.9952016913855544,0.5172801811364833,0.5712954995105861,0.5528856721148071
event_0008,0.8617904596380459,0.936419053196799,0.063701204606757,0.9369488426749569,0.23381321416466108,0.7252394016232417,0.7496921696032883,0.8162133423844786,0.9873595290912025,0.8975173195716466,0.9765049598350788,0.47891230509215604,0.5781797153691282,0.36621249591173033
event_0009,0.026443629936179176,0.2227813914865233,0.777037521112379,0.2225770500161562,0.17100549701505136,0.0,0.4483210621846283,0.5171800109970511,0.005526340101401442,0.006526214777312168,0.0030013440958941,0.5528567752342415,0.32589431052587725,0.6236454797843956
event_0010,0.631382210527667,0.29988745337113626,0.7001125466288639,0.2996700665411479,0.7490988970026751,0.3095512765720957,0.6264792900019707,0.5832000343234878,0.28295103845332104,0.6098611775792584,0.36932004789107853,0.4952604828894238,0.43883386217274944,0.541546752883758
event_0011,0.5585386354724751,0.7725849651454398,0.22741503485456005,0.7725849651454398,0.0030339904201155043,0.2576652775455573,0.6145113748259259,0.8502249121655993,0.5982452942424253,0.2864743344873038,0.43095101007476333,0.5345580259144996,0.4190635897425607,0.5073477139892439
event_0012,0.8878905935854464,0.809308222657682,0.190691777342318,0.8095823755260134,0.010555224656148936,0.01858994040999322,0.415049430025926,0.6211834232029629,0.5790419685714057,0.23883489554600135,0.4556542777185246,0.4918937606148343,0.5296749222889774,0.4945661801420408
event_0013,0.9202267958448008,0.06330859211776124,0.9367788784422533,0.06342403618319403,0.8931820227726495,0.008884620153146578,0.7058912038061294,0.6705409452955986,0.3784737791038518,0.9539118861304483,0.7967606859864975,0.4775661528775298,0.4624033987809936,0.5166734108788436
event_0014,0.0,1.0,0.0,1.0,0.24198479548771457,0.32989024631973635,0.6339599069609312,0.6510237299031134,1.0,0.0014624001350166213,0.8495488358286392,0.5026080812366553,0.4622324993359026,0.413349307797854
event_0015,0.31395902683656274,0.6515562462188884,0.3484437537811117,0.6512637058832146,0.6500012055548274,0.45445933771427127,0.5887111632533304,0.5712507719518272,0.6190247317024109,0.43606027230205785,0.5453615103021369,0.5262674759323769,0.49940103525339796,0.545893165755386
event_0016,0.06966705573104781,0.9965343205193875,0.0034656794806123504,0.9965343205193875,0.0033018360491355423,0.0,0.4408757690558413,0.6613534572408253,0.9861759502261384,0.13550563925002182,0.8225999727486972,0.4592160508020402,0.5790936256487687,0.4213695049116104
event_0017,0.47788078574373705,0.13352041406587956,0.8664795859341203,0.13336821637633772,0.0020186061066597536,0.010892652983695251,0.3598451123122328,0.588153283296742,0.11357421262926089,0.4972916298409932,0.15619881351634965,0.45336370771638373,0.5426219832875201,0.5163811000698549
event_0018,0.37112004450755276,0.08602893838852274,0.9139710616114772,0.08590052186718014,0.4185302826720782,0.3702295254727651,0.5951861884620325,0.5982839754902227,0.054057659578173024,0.688753259989263,0.09232563269765168,0.5041919583216088,0.421229290019671,0.5600369670510856
event_0019,0.07356577065543049,0.19664778742977707,0.8030471668387283,0.19664778742977707,0.48074271256353285,0.4834030272930591,0.5616329193040662,0.5571613658470708,0.1361963676050148,0.5027071271545114,0.21999915456528052,0.5599529900801656,0.4223875887952755,0.5556700872597269
event_0020,0.9558924242928832,0.02055184835624289,0.9794481516437572,0.02055184835624289,0.7460685730053168,0.7122946568346911,0.6295798020296975,0.5643157127265557,0.11070466318175379,0.9885725606266227,0.7356773330774931,0.4991150191668656,0.4793021950216798,0.5044392896549098
event_0021,0.6550850290785089,0.6799438942261856,0.3200561057738143,0.6799438942261856,0.020369841906935776,0.019247612854445036,0.7074037908585435,0.8012494393839114,0.7818360578215257,0.5477868464685806,0.7776580586641391,0.5101791547899408,0.43063572603030004,0.529927548323527
event_0022,0.8210932805708775,0.5328119726894296,0.4671880273105703,0.5328119726894296,0.024397743376729474,0.9889228118810436,0.5713438151607377,0.7492891856057241,0.7946515799041075,0.7383720587430889,0.88652261451226,0.5071795913293153,0.6085183882957619,0.5247198501320804
event_0023,0.039126604055538576,0.6673942386444383,0.3326057613555619,0.6673942386444383,0.023544235213214484,0.022470329208209287,0.6154891326178542,0.7173136751179242,0.4780796862484451,0.20435042606753617,0.03307135389227996,0.523077964403335,0.44031304553984596,0.5028882328001617
event_0024,0.5122529853919163,0.7706607145360609,0.2296623970116466,0.7706607145360609,0.3912484736475162,0.3733181660063444,0.6242417566938419,0.6362698707782343,0.8970509756196758,0.41020005494497097,0.9090551508686584,0.49544794680633036,0.463636496929425,0.4739709325729081
event_0025,0.16366696392834795,0.3335439144500464,0.6652209564393076,0.3335439144500464,0.340078953610917,8.921721292771753e-05,0.6620906427188349,0.667533957704395,0.3011356339688884,0.4270104590520497,0.3843251504996963,0.5029974797952306,0.3650834859697715,0.5916934694212049
event_0026,0.7530775595465264,0.21262165782685183,0.7873783421731482,0.2122438640704317,0.012443426025777592,0.0,0.7018715018958199,0.839381261275477,0.3894094558220159,0.8860589993870236,0.8109810066725958,0.48131546981449663,0.4866673845302625,0.5715638958184924
event_0027,0.3185639709501107,0.9269414193807504,0.0730585806192495,0.9269414193807504,0.5994400959970236,0.10273514200837311,0.6715742989351993,0.6357833461545555,0.7174626620431858,0.18410353884361502,0.4266484340852013,0.46190553521292166,0.4031339517309581,0.542473717108336
event_0028,0.20810450177219714,0.4351124214291096,0.5648875785708904,0.4351124214291096,0.7930175085799884,0.5223492543811117,0.7409303389874191,0.7368018075782488,0.10618591197399754,0.10233377533585031,0.04449938856307166,0.5470601685761035,0.35463982410167494,0.7856750157430792
event_0029,0.6948597387107573,0.32079945460818216,0.6797241785749633,0.32079945460818216,0.10926517668333936,0.6184585720582527,0.6452686127866577,0.7109680106576777,0.7329279554048032,0.8840124573846466,0.9491794185300952,0.548606119591128,0.48929470448014756,0.4733267870747131
event_0030,0.1567591749029602,0.8063730409377841,0.193626959062216,0.8063730409377841,0.14420778030978246,0.0,0.5406722550670809,0.6045130245862884,0.43879630509275774,0.05489438770474783,0.054465775507965226,0.5070890169634052,0.4028695252861737,0.5169255319400764
event_0031,0.24857674604223276,0.8610352278211879,0.1389647721788121,0.8610352278211879,0.6626418012669091,0.21395522460872163,0.5720450340867711,0.5570638483660757,0.6731148704778869,0.06421395028550743,0.17839854820982604,0.5354518273483875,0.49757613132476497,0.5478431233599319
event_0032,0.5924234212676257,0.30949622390881604,0.6905037760911839,0.30949622390881604,0.9940336766297764,0.9999999999999998,0.6390137234986526,0.48800031209049866,0.10961283007831826,0.2745674286396593,0.07127740380572334,0.5311718047860712,0.3301423915733759,0.56608389553847
event_0033,0.22980033461519916,0.8960499695925838,0.10395003040741638,0.8960499695925838,0.41781103526567653,0.49188304368324226,0.7383882478054482,0.7603225283719458,0.9941613886143814,0.37586235248121785,0.9833263681224158,0.445372758541798,0.5180454331204056,0.47833245886121606
event_0034,0.017090444098322225,0.8695174290234445,0.13008130139301735,0.8695174290234445,0.18802947068693263,0.0,0.6552539679346205,0.7100091556311084,0.6166445098462194,0.048746867236777555,0.13256286953888416,0.4776800233779381,0.376733974562947,0.6085927386059923
event_0035,0.6012013711644881,0.8752154861082467,0.1247845138917533,0.8752154861082467,0.24620730310596067,0.9198173444504844,0.7768182983586869,0.7964765577469229,0.7545069336913754,0.26144105205957624,0.5645919880066987,0.5024490550489505,0.3657855996246505,0.5940346730203492
event_0036,0.9583204253060889,0.281166128680705,0.7194345625045038,0.2814100520530408,0.8769058245392626,0.9923856590775126,0.7356873954194058,0.6815904491589848,0.7053972683112646,0.9380299647195063,0.9105090629897148,0.5106941244295551,0.5024050325107303,0.5349480450908538
event_0037,0.4651425716982387,0.5443993369603515,0.45560066303964863,0.5447390021988069,0.1283909748702795,0.7889122698809437,0.5287448052582139,0.5880405043426349,0.4687541496527412,0.3553352795945163,0.4292842616399955,0.5174070864462695,0.4344939080007244,0.5055685303210469
event_0038,0.006129758990217681,0.9039975065392574,0.09600249346074283,0.9039975065392574,0.026121027999325582,0.06066139179663932,0.5918717463986092,0.7108736885644195,0.5179986769500746,0.007922731875856653,0.027497223874204176,0.5097972028091708,0.4108311398228218,0.5623825089832692
event_0039,0.0,1.0,0.0,1.0,0.16334416939935095,0.2638682498768226,0.4172566211907757,0.4904452790949978,0.32124654402963254,0.01877349670456843,0.1304129178849672,0.5854640512551177,0.3155012642477924,0.5867058471205477
event_0040,0.5930854639784339,0.5155797739929382,0.4844202260070618,0.5155797739929382,0.8796941435617607,0.11598989084837641,0.6817050849045715,0.6182704467910177,0.406849864301154,0.4104022501378344,0.25011866564878793,0.528065603923258,0.422040636828797,0.5685572065795252
event_0041,0.1686688365843779,0.9847401919171985,0.015259808082801347,0.9847401919171985,0.300355809103265,0.9978132471047151,0.5629532192898826,0.5995075245256674,0.8110910696524772,0.04183602366923311,0.2562601331237361,0.5093256082640767,0.4701009412864603,0.5735405230193558
event_0042,0.6980794456508004,0.9153308336096291,0.084669166390371,0.9153308336096291,0.3659753755774299,0.0,0.5843746971338104,0.6141668174169675,0.9235378500630085,0.2738421841847687,0.8910909095818635,0.5480356359309978,0.5099589758308327,0.488675899608341
event_0043,0.12071713226681957,0.9544053229746833,0.04559467702531683,0.9544053229746833,0.041669888122525145,0.004552511047435638,0.670641384252401,0.7988689532134206,0.6027133421123998,0.08918365955894382,0.19920950244910934,0.5444254222586054,0.3917651590956791,0.5673941255855368
event_0044,0.21564811341376222,0.7331967203796599,0.2668032796203402,0.7331967203796599,0.23062396350496805,0.1933996574026423,0.6297088053942403,0.6510903495612398,0.4829333963858149,0.32452362925908995,0.39412178267036907,0.5652585974309512,0.4879823079930724,0.5747386308338107
event_0045,0.3010417331494255,0.95745235660776,0.04254764339224013,0.95745235660776,0.6763916459871271,1.0,0.7778495677670991,0.7680805069020153,0.9591005193116467,0.17421207686704304,0.8466128914558977,0.481238768268327,0.46305965737248067,0.5816551543318067
event_0046,0.28760581131566204,0.9001353386364686,0.09986466136353161,0.9001353386364686,0.9332145636783823,0.0,0.6071938656158438,0.5112441527280076,0.6401738741781224,0.010151927114141871,0.04678273404748497,0.5474613526517977,0.43455252427547486,0.5756480780660238
event_0047,0.850474953731136,0.009542760096370681,0.9904467236150288,0.009542760096370681,0.956186172960303,0.9674583976550605,0.640640588994889,0.48873638689869503,0.021752215459839932,0.7677543115642128,0.1449560299036319,0.5222307687101916,0.3258808851176426,0.6002572217648345
event_0048,0.9924365594335196,0.1452256706382941,0.8549637932427244,0.14554210039488266,0.19097295457880747,0.8317180669329443,0.6199129600273724,0.6755284025654367,0.7556328929852453,0.8899685595892678,0.8514791594324649,0.48896118978257386,0.552686714234436,0.44540135697363076
event_0049,0.5947151971795545,0.5739629031961239,0.4260370968038762,0.5739629031961239,0.5290761066905622,0.6028708761799154,0.6778179316150008,0.6607047932561432,0.7058090023610482,0.6368588207368998,0.8879408638646145,0.5798217250265862,0.4730491922965975,0.5325805575092373
event_0050,0.7106481801818045,0.21669428799026674,0.7833057120097333,0.21669428799026674,0.8394805902949243,0.10774109181787016,0.6975559657025219,0.6017962375221971,0.09733822558531001,0.5820257441666208,0.0621596196135622,0.48654310995166705,0.3163627369443281,0.6307719596709951
event_0051,0.059052024432735245,0.9611605347965579,0.0388394652034421,0.9611605347965579,0.0,0.0010117244655172947,0.5166785282735874,0.7462851126476706,0.7521367299321289,0.1525356572203404,0.4651392263340816,0.537751758974226,0.48766987618108365,0.48394474815803745
